

[2017-05-30 21:41:22] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-30 21:59:53] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-30 23:03:29] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-30 23:03:29] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-30 23:22:34] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-30 23:41:12] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-30 23:46:30] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 00:05:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-31 02:36:40] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 02:45:55] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 02:51:05] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 04:00:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 04:05:28] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 18:04:54] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 19:04:35] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-31 21:49:50] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-01 16:21:58] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-01 17:06:24] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-01 21:32:16] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-02 01:53:25] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-02 03:44:12] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 01:21:52] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 01:45:27] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 02:35:24] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-06-21 19:08:08] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


